"Horodateur","sexe","Quel age avez-vous ?","niveau d etude","Quelles est votre activiteprofessionnelle","Fumez-vous actuellement des produitsa base de tabac tels que cigarettes?","si oui Fumez-vous quotidiennement ?"
"2020/10/12 10:19:31 PM UTC+1","homme","37","universitaire","Employe de l Etat","Non",""
"2020/10/12 10:25:06 PM UTC+1","homme","37","universitaire","Employe de l Etat","oui","oui"
"2020/10/12 10:28:55 PM UTC+1","femme","64","ecole secondaire","chomeur(se)","Non","Non"
"2020/10/12 10:29:54 PM UTC+1","homme","44","ecole secondaire","Employe dans le prive","oui","oui"
"2020/10/12 10:36:22 PM UTC+1","homme","25","universitaire","etudiant","Non","Non"
"2020/10/12 10:47:26 PM UTC+1","femme","30","universitaire","Employe de l Etat","Non",""
"2020/10/12 10:59:59 PM UTC+1","homme","38","universitaire","Employe de l Etat","Non",""
"2020/10/12 11:06:45 PM UTC+1","homme","32","universitaire","Employe de l Etat","Non","Non"
"2020/10/12 11:07:02 PM UTC+1","homme","32","universitaire","Employe de l Etat","Non","Non"
"2020/10/12 11:19:26 PM UTC+1","homme","30","universitaire","Employe de l Etat","Non","Non"
"2020/10/12 11:32:59 PM UTC+1","homme","34","lycee","Employe de l Etat","Non","Non"
"2020/10/12 11:47:51 PM UTC+1","homme","33","universitaire","Employe dans le prive","Non","Non"
"2020/10/13 12:05:36 AM UTC+1","homme","33","universitaire","Employe de l Etat","Non",""
"2020/10/13 12:24:30 AM UTC+1","homme","38","universitaire","Employe de l Etat","Non",""
"2020/10/13 1:23:10 AM UTC+1","homme","35","universitaire","Employe de l Etat","Non","Non"
"2020/10/13 7:28:26 AM UTC+1","homme","35","universitaire","Employe dans le prive","Non",""
"2020/10/13 11:09:57 AM UTC+1","homme","45","universitaire","Employe de l Etat","Non","Non"
"2020/10/13 12:51:35 PM UTC+1","femme","25","universitaire","etudiant","Non","Non"
"2020/10/13 3:02:21 PM UTC+1","femme","32","universitaire","Employe de l Etat","Non","Non"
"2020/10/13 3:14:35 PM UTC+1","femme","56","ecole secondaire","chomeur(se)","Non","Non"
"2020/10/13 5:39:53 PM UTC+1","femme","27","universitaire","etudiant","Non","Non"
"2020/10/13 6:18:56 PM UTC+1","homme","37","universitaire","Employe dans le prive","Non","Non"
"2020/10/13 8:23:47 PM UTC+1","homme","25","universitaire","etudiant","Non",""
"2020/10/13 10:52:41 PM UTC+1","homme","26","universitaire","Employe de l Etat","Non","Non"
"2020/10/14 6:02:20 AM UTC+1","femme","48","universitaire","Employe de l Etat","Non","Non"
"2020/10/14 4:25:12 PM UTC+1","femme","23","universitaire","etudiant","Non",""
"2020/10/14 9:33:00 PM UTC+1","femme","26","universitaire","etudiant","Non","Non"
"2020/10/15 12:48:58 PM UTC+1","femme","29","universitaire","Employe dans le prive","Non","Non"
"2020/10/15 1:03:45 PM UTC+1","homme","37","universitaire","Employe dans le prive","Non",""
"2020/10/15 4:44:37 PM UTC+1","homme","49","lycee","Employe de l Etat","Non","Non"
"2020/10/16 7:57:43 AM UTC+1","homme","33","universitaire","Employe dans le prive","oui","oui"
"2020/10/16 10:54:02 AM UTC+1","homme","31","universitaire","Employe dans le prive","oui","oui"
"2020/10/16 3:34:59 PM UTC+1","femme","27","universitaire","Employe de l Etat","Non",""
"2020/10/16 3:38:28 PM UTC+1","femme","26","universitaire","Employe de l Etat","Non","Non"
"2020/10/16 4:18:08 PM UTC+1","homme","28","universitaire","chomeur(se)","Non",""
"2020/10/16 4:25:01 PM UTC+1","femme","26","universitaire","chomeur(se)","Non",""
"2020/10/16 4:26:45 PM UTC+1","femme","26","universitaire","chomeur(se)","Non","Non"
"2020/10/16 4:30:03 PM UTC+1","femme","28","universitaire","Employe de l Etat","Non","Non"
"2020/10/16 4:32:41 PM UTC+1","femme","19","universitaire","etudiant","Non","Non"
"2020/10/16 4:48:55 PM UTC+1","homme","27","universitaire","Employe dans le prive","Non","Non"
"2020/10/16 5:24:54 PM UTC+1","femme","30","universitaire","Employe de l Etat","Non","Non"
"2020/10/17 10:30:08 AM UTC+1","femme","27","universitaire","Employe dans le prive","Non",""
"2020/10/17 11:22:56 AM UTC+1","femme","29","universitaire","Employe de l Etat","Non","Non"
"2020/10/22 3:37:11 PM UTC+1","femme","20","universitaire","etudiant","Non",""
"2020/10/22 3:37:22 PM UTC+1","homme","18","universitaire","etudiant","Non","Non"
"2020/10/22 3:38:25 PM UTC+1","femme","21","universitaire","etudiant","Non",""
"2020/10/22 3:39:04 PM UTC+1","femme","18","universitaire","etudiant","Non",""
"2020/10/22 3:41:33 PM UTC+1","homme","19","universitaire","etudiant","Non","Non"
"2020/10/22 3:41:38 PM UTC+1","femme","22","universitaire","etudiant","Non",""
"2020/10/22 3:41:41 PM UTC+1","homme","19","universitaire","etudiant","Non","Non"
"2020/10/22 3:42:23 PM UTC+1","homme","18","universitaire","etudiant","Non",""
"2020/10/22 3:43:16 PM UTC+1","homme","21","universitaire","etudiant","Non",""
"2020/10/22 3:45:38 PM UTC+1","femme","24","universitaire","etudiant","Non",""
"2020/10/22 3:48:36 PM UTC+1","femme","20","universitaire","etudiant","Non","Non"
"2020/10/22 3:49:35 PM UTC+1","homme","23","universitaire","etudiant","Non",""
"2020/10/22 3:51:18 PM UTC+1","femme","19","universitaire","etudiant","Non",""
"2020/10/22 3:52:14 PM UTC+1","homme","21","universitaire","etudiant","Non",""
"2020/10/22 3:52:21 PM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/22 3:53:05 PM UTC+1","femme","19","universitaire","etudiant","Non",""
"2020/10/22 3:53:27 PM UTC+1","femme","22","universitaire","etudiant","Non","Non"
"2020/10/22 4:05:27 PM UTC+1","homme","19","universitaire","etudiant","Non","Non"
"2020/10/22 4:05:28 PM UTC+1","homme","21","universitaire","etudiant","Non","Non"
"2020/10/22 4:06:17 PM UTC+1","homme","21","universitaire","etudiant","Non",""
"2020/10/22 4:06:58 PM UTC+1","homme","20","universitaire","etudiant","Non",""
"2020/10/22 4:07:29 PM UTC+1","homme","21","universitaire","etudiant","Non",""
"2020/10/22 4:10:16 PM UTC+1","femme","20","universitaire","etudiant","Non",""
"2020/10/22 4:11:06 PM UTC+1","femme","18","universitaire","etudiant","Non",""
"2020/10/22 4:12:07 PM UTC+1","femme","19","universitaire","etudiant","Non",""
"2020/10/22 4:14:24 PM UTC+1","homme","23","universitaire","Employe dans le prive","Non","Non"
"2020/10/22 4:17:17 PM UTC+1","homme","22","universitaire","etudiant","Non","Non"
"2020/10/22 4:18:32 PM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/22 4:31:44 PM UTC+1","femme","23","universitaire","etudiant","Non",""
"2020/10/22 4:38:19 PM UTC+1","femme","21","universitaire","etudiant","Non",""
"2020/10/22 4:39:24 PM UTC+1","femme","19","universitaire","etudiant","Non",""
"2020/10/22 4:44:05 PM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/22 5:04:36 PM UTC+1","homme","19","universitaire","etudiant","Non","Non"
"2020/10/22 5:09:47 PM UTC+1","femme","21","universitaire","etudiant","Non",""
"2020/10/22 5:10:01 PM UTC+1","femme","21","universitaire","etudiant","Non","Non"
"2020/10/22 5:37:57 PM UTC+1","femme","21","universitaire","etudiant","Non","Non"
"2020/10/22 5:55:24 PM UTC+1","femme","18","universitaire","etudiant","Non",""
"2020/10/22 5:58:31 PM UTC+1","femme","18","universitaire","etudiant","Non","Non"
"2020/10/22 6:07:25 PM UTC+1","femme","20","universitaire","etudiant","Non","Non"
"2020/10/22 6:07:30 PM UTC+1","femme","18","universitaire","etudiant","Non",""
"2020/10/22 6:09:51 PM UTC+1","femme","35","universitaire","Employe de l Etat","Non","Non"
"2020/10/22 7:22:43 PM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/22 7:24:07 PM UTC+1","homme","20","universitaire","etudiant","Non",""
"2020/10/22 7:30:59 PM UTC+1","femme","19","universitaire","etudiant","Non",""
"2020/10/22 7:55:28 PM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/22 8:28:00 PM UTC+1","homme","21","universitaire","etudiant","Non","Non"
"2020/10/22 9:04:19 PM UTC+1","homme","18","universitaire","etudiant","Non","Non"
"2020/10/22 9:58:54 PM UTC+1","femme","18","universitaire","etudiant","Non",""
"2020/10/22 10:03:25 PM UTC+1","homme","19","universitaire","etudiant","oui","Non"
"2020/10/22 10:03:59 PM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/22 10:06:09 PM UTC+1","homme","20","universitaire","etudiant","Non","Non"
"2020/10/23 2:02:30 AM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/23 7:35:51 AM UTC+1","homme","21","universitaire","etudiant","Non",""
"2020/10/23 9:14:48 AM UTC+1","homme","19","universitaire","etudiant","Non",""
"2020/10/23 10:47:36 AM UTC+1","homme","20","universitaire","etudiant","Non","Non"
"2020/10/23 11:18:24 AM UTC+1","femme","18","universitaire","etudiant","Non",""
"2020/10/23 11:34:39 AM UTC+1","femme","21","universitaire","etudiant","Non",""
"2020/10/23 2:32:13 PM UTC+1","homme","21","universitaire","etudiant","Non","Non"
"2020/10/23 3:26:24 PM UTC+1","homme","20","universitaire","etudiant","oui","oui"
"2020/10/23 5:41:32 PM UTC+1","homme","24","universitaire","etudiant","Non","Non"
"2020/10/25 11:32:03 PM UTC+1","femme","20","universitaire","etudiant","Non","Non"
"2020/10/28 1:10:02 PM UTC+1","homme","23","universitaire","etudiant","Non",""
"2020/10/30 1:16:40 AM UTC+1","homme","19","universitaire","etudiant","Non",""
